feature,iv,strength,n_bins
rate_x_dti,0.4919,Strong,11
debt_to_income,0.3938,Strong,11
grade,0.2418,Medium,7
credit_utilization_ratio,0.2001,Medium,11
interest_rate,0.1108,Medium,11
num_derog_records,0.1044,Medium,3
derog_rate,0.0857,Weak,4
num_credit_inquiries,0.0683,Weak,5
months_since_last_delinq,0.0642,Weak,11
annual_income,0.0614,Weak,11
employment_length_years,0.0477,Weak,11
loan_to_income,0.0233,Weak,11
revolving_to_income,0.0159,Useless,11
open_account_rate,0.0034,Useless,11
revolving_balance,0.0024,Useless,11
total_accounts,0.0021,Useless,11
loan_amount,0.002,Useless,11
num_open_accounts,0.0018,Useless,11
age,0.0017,Useless,11
loan_purpose,0.0009,Useless,7
home_ownership,0.0005,Useless,5
verification_status,0.0005,Useless,4
loan_term_months,0.0,Useless,2
